"FSD670ZW.Code.or.Value","FSD670ZW.Value.Description","FSD670ZW.Count","FSD670ZW.Cumulative","FSD670ZW.Skip.to.Item"
"1 to 36","Range of Values",56,56,NA
"777","Refused",0,56,NA
"999","Don't know",0,56,NA
".","Missing",9700,9756,NA
