"DS2TTFAT.Code.or.Value","DS2TTFAT.Value.Description","DS2TTFAT.Count","DS2TTFAT.Cumulative","DS2TTFAT.Skip.to.Item"
"0.35 to 18","Range of Values",559,559,NA
".","Missing",8779,9338,NA
