"DR1TIRON.Code.or.Value","DR1TIRON.Value.Description","DR1TIRON.Count","DR1TIRON.Cumulative","DR1TIRON.Skip.to.Item"
"0.13 to 130.76","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
