"DXXHEA.Code.or.Value","DXXHEA.Value.Description","DXXHEA.Count","DXXHEA.Cumulative","DXXHEA.Skip.to.Item"
"179.48 to 290.21","Range of Values",4979,4979,NA
".","Missing",801,5780,NA
