"OHX15LAP.Code.or.Value","OHX15LAP.Value.Description","OHX15LAP.Count","OHX15LAP.Cumulative","OHX15LAP.Skip.to.Item"
"0 to 13","Range of Values",2407,2407,NA
"99","Cannot be assessed",1321,3728,NA
".","Missing",637,4365,NA
