"WHD220.Code.or.Value","WHD220.Value.Description","WHD220.Count","WHD220.Cumulative","WHD220.Skip.to.Item"
"0 to 220","Range of Values",3475,3475,NA
"77777","Refused",0,3475,NA
"99999","Don't know",27,3502,NA
".","Missing",2637,6139,NA
