"DXXAPFAT.Code.or.Value","DXXAPFAT.Value.Description","DXXAPFAT.Count","DXXAPFAT.Cumulative","DXXAPFAT.Skip.to.Item"
"10.3 to 59.6","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
