"ORXH53.Code.or.Value","ORXH53.Value.Description","ORXH53.Count","ORXH53.Cumulative","ORXH53.Skip.to.Item"
"1","Positive",20,20,NA
"2","Negative",4390,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
