"DRD370OQ.Code.or.Value","DRD370OQ.Value.Description","DRD370OQ.Count","DRD370OQ.Cumulative","DRD370OQ.Skip.to.Item"
"1 to 6","Range of Values",61,61,NA
".","Missing",9701,9762,NA
