"DS2ISODI.Code.or.Value","DS2ISODI.Value.Description","DS2ISODI.Count","DS2ISODI.Cumulative","DS2ISODI.Skip.to.Item"
"0.1 to 424","Range of Values",421,421,NA
".","Missing",5177,5598,NA
