"URXOP5.Code.or.Value","URXOP5.Value.Description","URXOP5.Count","URXOP5.Cumulative","URXOP5.Skip.to.Item"
"0.06 to 1100","Range of Values",1949,1949,NA
".","Missing",176,2125,NA
