"URDCOPLC.Code.or.Value","URDCOPLC.Value.Description","URDCOPLC.Count","URDCOPLC.Cumulative","URDCOPLC.Skip.to.Item"
"0","At or above the detection limit",2510,2510,NA
"1","Below lower detection limit",94,2604,NA
".","Missing",114,2718,NA
