"DXXLABMD.Code.or.Value","DXXLABMD.Value.Description","DXXLABMD.Count","DXXLABMD.Cumulative","DXXLABMD.Skip.to.Item"
"0.367 to 1.342","Range of Values",4095,4095,NA
".","Missing",1019,5114,NA
