"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",2530,2530,NA
"2","No",4873,7403,NA
".","Missing",2240,9643,NA
