"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.0071 to 0.084","Range of Values",3358,3358,NA
".","Missing",387,3745,NA
