"VIXKRG2.Code.or.Value","VIXKRG2.Value.Description","VIXKRG2.Count","VIXKRG2.Cumulative","VIXKRG2.Skip.to.Item"
"0 to 179","Range of Values",6969,6969,NA
"888","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
