"LBXF08.Code.or.Value","LBXF08.Value.Description","LBXF08.Count","LBXF08.Cumulative","LBXF08.Skip.to.Item"
"7.07 to 1711.8","Range of Values",1219,1219,NA
".","Missing",1328,2547,NA
