"DS2TCARB.Code.or.Value","DS2TCARB.Value.Description","DS2TCARB.Count","DS2TCARB.Cumulative","DS2TCARB.Skip.to.Item"
"0.3 to 64","Range of Values",882,882,NA
".","Missing",9371,10253,NA
