"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"12 to 86","Range of Values",1169,1169,NA
"777","Refused",2,1171,NA
"999","Don't know",6,1177,NA
".","Missing",3703,4880,NA
