"WBXA090.Code.or.Value","WBXA090.Value.Description","WBXA090.Count","WBXA090.Cumulative","WBXA090.Skip.to.Item"
"-2.8482 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
