"RXQ520.Code.or.Value","RXQ520.Value.Description","RXQ520.Count","RXQ520.Cumulative","RXQ520.Skip.to.Item"
"1","Yes",116,116,""
"2","No",2150,2266,"End of Section"
"7","Refused",1,2267,"End of Section"
"9","Don't know",0,2267,"End of Section"
".","Missing",1336,3603,""
