"DR1INIAC.Code.or.Value","DR1INIAC.Value.Description","DR1INIAC.Count","DR1INIAC.Cumulative","DR1INIAC.Skip.to.Item"
"0 to 144.994","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
