"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"0 to 47","Range of Values",7574,7574,NA
".","Missing",2239,9813,NA
