"RFXT133.Code.or.Value","RFXT133.Value.Description","RFXT133.Count","RFXT133.Cumulative","RFXT133.Skip.to.Item"
"1159 to 1167","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
