"DS2ISFAT.Code.or.Value","DS2ISFAT.Value.Description","DS2ISFAT.Count","DS2ISFAT.Cumulative","DS2ISFAT.Skip.to.Item"
"0.05 to 3","Range of Values",241,241,NA
".","Missing",5662,5903,NA
