"DMDSCHOL.Code.or.Value","DMDSCHOL.Value.Description","DMDSCHOL.Count","DMDSCHOL.Cumulative","DMDSCHOL.Skip.to.Item"
"1","In school",2155,2155,NA
"2","On vacation from school (between grades)",667,2822,NA
"3","Neither in school or on vacation from school (between grades)",305,3127,NA
"7","Refused",0,3127,NA
"9","Don't know",0,3127,NA
".","Missing",6995,10122,NA
