"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.061 to 110.873","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
