"DSQIVD.Code.or.Value","DSQIVD.Value.Description","DSQIVD.Count","DSQIVD.Cumulative","DSQIVD.Skip.to.Item"
"0.01 to 1500","Range of Values",3729,3729,NA
".","Missing",5830,9559,NA
