"URDFLOW1.Code.or.Value","URDFLOW1.Value.Description","URDFLOW1.Count","URDFLOW1.Cumulative","URDFLOW1.Skip.to.Item"
"0 to 53","Range of Values",5841,5841,NA
".","Missing",2095,7936,NA
