"LBCPDT.Code.or.Value","LBCPDT.Value.Description","LBCPDT.Count","LBCPDT.Cumulative","LBCPDT.Skip.to.Item"
"3.536 to 1030","Range of Values",283,283,NA
".","Missing",1,284,NA
