"SPXBEV.Code.or.Value","SPXBEV.Value.Description","SPXBEV.Count","SPXBEV.Cumulative","SPXBEV.Skip.to.Item"
"11 to 214","Range of Values",611,611,NA
".","Missing",7132,7743,NA
