"OSQ130.Code.or.Value","OSQ130.Value.Description","OSQ130.Count","OSQ130.Cumulative","OSQ130.Skip.to.Item"
"1","Yes",220,220,""
"2","No",3573,3793,"OSQ150"
"7","Refused",0,3793,"OSQ150"
"9","Don't know",22,3815,"OSQ150"
".","Missing",0,3815,""
