"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",942,942,NA
"1","Below lower detection limit",2227,3169,NA
".","Missing",148,3317,NA
