"RFXT075.Code.or.Value","RFXT075.Value.Description","RFXT075.Count","RFXT075.Cumulative","RFXT075.Skip.to.Item"
"646 to 654","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
