"RHQ602U.Code.or.Value","RHQ602U.Value.Description","RHQ602U.Count","RHQ602U.Cumulative","RHQ602U.Skip.to.Item"
"1","Months",2,2,NA
"2","Years",7,9,NA
"7","Refused",0,9,NA
"9","Don't know",0,9,NA
".","Missing",3736,3745,NA
