"LBXPFSA.Code.or.Value","LBXPFSA.Value.Description","LBXPFSA.Count","LBXPFSA.Cumulative","LBXPFSA.Skip.to.Item"
"0.07 to 5","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
