"BPQ070.Code.or.Value","BPQ070.Value.Description","BPQ070.Count","BPQ070.Cumulative","BPQ070.Skip.to.Item"
"1","Less than 1 year ago,",2940,2940,NA
"2","1 year but less than 2 years ago,",734,3674,NA
"3","2 years but less than 5 years ago, or",445,4119,NA
"4","5 years or more?",221,4340,NA
"7","Refused",0,4340,NA
"9","Don't know",18,4358,NA
".","Missing",2531,6889,NA
