"SMD830.Code.or.Value","SMD830.Value.Description","SMD830.Count","SMD830.Cumulative","SMD830.Skip.to.Item"
"1 to 5","Range of Values",14,14,NA
"7","Refused",0,14,NA
"9","Don't know",0,14,NA
".","Missing",6744,6758,NA
