"URXCOP.Code.or.Value","URXCOP.Value.Description","URXCOP.Count","URXCOP.Cumulative","URXCOP.Skip.to.Item"
"0.49 to 776.9","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
