"URDUSRLC.Code.or.Value","URDUSRLC.Value.Description","URDUSRLC.Count","URDUSRLC.Cumulative","URDUSRLC.Skip.to.Item"
"0","At or above the detection limit",2268,2268,NA
"1","Below lower detection limit",1,2269,NA
".","Missing",80,2349,NA
