"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",813,813,""
"2","No",2946,3759,"DRD350C"
".","Missing",6003,9762,""
