"DR2IFF.Code.or.Value","DR2IFF.Value.Description","DR2IFF.Count","DR2IFF.Cumulative","DR2IFF.Skip.to.Item"
"0 to 1138","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
