"DXXPEA.Code.or.Value","DXXPEA.Value.Description","DXXPEA.Count","DXXPEA.Cumulative","DXXPEA.Skip.to.Item"
"70.68 to 372.99","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
