"WBXP091.Code.or.Value","WBXP091.Value.Description","WBXP091.Count","WBXP091.Cumulative","WBXP091.Skip.to.Item"
"-170.0759 to 165.3545","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
