"AUXU1K1L.Code.or.Value","AUXU1K1L.Value.Description","AUXU1K1L.Count","AUXU1K1L.Cumulative","AUXU1K1L.Skip.to.Item"
"-10 to 120","Range of Values",2735,2735,NA
"666","No response",0,2735,NA
"888","Could not obtain",12,2747,NA
".","Missing",287,3034,NA
