"DS2IFA.Code.or.Value","DS2IFA.Value.Description","DS2IFA.Count","DS2IFA.Cumulative","DS2IFA.Skip.to.Item"
"2 to 12000","Range of Values",1572,1572,NA
".","Missing",4026,5598,NA
