"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",1870,1870,NA
"1","below lower detection limit",784,2654,NA
".","Missing",101,2755,NA
