"SSSE2.Code.or.Value","SSSE2.Value.Description","SSSE2.Count","SSSE2.Cumulative","SSSE2.Skip.to.Item"
"-5 to 174.3","Range of Values",524,524,NA
".","Missing",2,526,NA
