"DR1IS120.Code.or.Value","DR1IS120.Value.Description","DR1IS120.Count","DR1IS120.Cumulative","DR1IS120.Skip.to.Item"
"0 to 21.104","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
