"SMD430.Code.or.Value","SMD430.Value.Description","SMD430.Count","SMD430.Cumulative","SMD430.Skip.to.Item"
"1 to 38","Range of Values",1791,1791,NA
"40","40 or More",174,1965,NA
".","Missing",8000,9965,NA
