"MCQ260GG.Code.or.Value","MCQ260GG.Value.Description","MCQ260GG.Count","MCQ260GG.Cumulative","MCQ260GG.Skip.to.Item"
"7","Brother",88,88,NA
".","Missing",10382,10470,NA
