"WBXP042.Code.or.Value","WBXP042.Value.Description","WBXP042.Count","WBXP042.Cumulative","WBXP042.Skip.to.Item"
"-164.7941 to 167.706","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
