"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 3.282","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
