"BMIHEAD.Code.or.Value","BMIHEAD.Value.Description","BMIHEAD.Count","BMIHEAD.Cumulative","BMIHEAD.Skip.to.Item"
"1","Could not obtain",1,1,NA
"2","Exceeds capacity",0,1,NA
"3","Not straight",0,1,NA
".","Missing",9281,9282,NA
