"PAD630.Code.or.Value","PAD630.Value.Description","PAD630.Count","PAD630.Cumulative","PAD630.Skip.to.Item"
"10 to 1080","Range of Values",2527,2527,NA
"7777","Refused",0,2527,NA
"9999","Don't know",3,2530,NA
".","Missing",7241,9771,NA
