"AUDTYL17.Code.or.Value","AUDTYL17.Value.Description","AUDTYL17.Count","AUDTYL17.Cumulative","AUDTYL17.Skip.to.Item"
"0 to 2.66","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
