"BIDRECF.Code.or.Value","BIDRECF.Value.Description","BIDRECF.Count","BIDRECF.Cumulative","BIDRECF.Skip.to.Item"
"303.2 to 1087.4","Range of Values",4136,4136,NA
".","Missing",1175,5311,NA
