"DS1ANCNT.Code.or.Value","DS1ANCNT.Value.Description","DS1ANCNT.Count","DS1ANCNT.Cumulative","DS1ANCNT.Skip.to.Item"
"0 to 2","Range of Values",7636,7636,NA
".","Missing",1068,8704,NA
