"DR2ICALC.Code.or.Value","DR2ICALC.Value.Description","DR2ICALC.Count","DR2ICALC.Cumulative","DR2ICALC.Skip.to.Item"
"0 to 7976","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
