"LBDSF6LC.Code.or.Value","LBDSF6LC.Value.Description","LBDSF6LC.Count","LBDSF6LC.Cumulative","LBDSF6LC.Skip.to.Item"
"0","At or above the detection limit",8053,8053,NA
"1","Below lower detection limit",2,8055,NA
".","Missing",1110,9165,NA
