"SSEPAHL.Code.or.Value","SSEPAHL.Value.Description","SSEPAHL.Count","SSEPAHL.Cumulative","SSEPAHL.Skip.to.Item"
"0","At or above the detection limit",13,13,NA
"1","Below lower detection limit",512,525,NA
".","Missing",0,525,NA
