"WHD045.Code.or.Value","WHD045.Value.Description","WHD045.Count","WHD045.Cumulative","WHD045.Skip.to.Item"
"85 to 320","Range of Values",4006,4006,NA
"77777","Refused",4,4010,NA
"99999","Don't know",21,4031,NA
".","Missing",2144,6175,NA
