"LBCBR3LA.Code.or.Value","LBCBR3LA.Value.Description","LBCBR3LA.Count","LBCBR3LA.Cumulative","LBCBR3LA.Skip.to.Item"
"5.8 to 169","Range of Values",264,264,NA
".","Missing",0,264,NA
