"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"20.5 to 55.8","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
